extension,repos,files
.com/go-logr/logr/license,96,161
.gitconfig,96,159
.com/pborman/uuid/contributors,96,150
.lisp,95,6720
.nc,95,2205
.graphml,95,1092
.framework/headers,95,654
.container,95,375
.js~,95,303
.rproj,95,264
.os2,95,249
.freebsd,95,208
.com/docker/docker/license,95,166
.com/hashicorp/go-cleanhttp/license,95,162
.org/atomic/makefile,95,104
.resources,94,1884
.gen,94,750
.todo,94,528
.un~,94,375
.xcbkptlist,94,202
.com/docker/docker/notice,94,156
.sublime-workspace,94,132
.exs,93,7719
.tests,93,2105
.defaults,93,839
.bazelversion,93,160
.rbuildignore,93,148
.ref,92,9798
.inp,92,6063
.crl,92,2687
.apt,92,1928
.pack,92,1502
.component,92,566
.ubuntu,92,213
.com/go-ini/ini/license,92,158
.production,92,147
.org/x/text/collate/tools/colcmp/makefile,92,106
.adb,91,16457
.original,91,1623
.dep,91,1533
.framework/resources,91,425
.egg,91,399
.1/makefile,91,216
.com/docker/go-units/maintainers,91,146
.com/golang/protobuf/proto/testdata/makefile,91,115
.handlebars,90,3152
.sdf,90,1427
.mc,90,255
.com/gorilla/websocket/authors,90,109
.fasta,89,3565
.liquid,89,1850
.aidl,89,1451
.sym,89,1092
.14,89,534
.goconvey,89,377
.msi,89,257
.jsbeautifyrc,89,136
.org/x/term/license,89,130
.github/pull_request_template,89,123
.vbproj,88,16871
.fa,88,12165
.p,88,7752
.3/license,88,480
.2/readme,88,185
.firebaserc,88,153
.org/grpc/patents,88,151
.org/x/sys/unix/linux/dockerfile,88,107
.ads,87,15980
.sch,87,9325
.vsprops,87,1045
.la,87,714
.ci,87,643
.15,87,522
.net,87,380
.org/x/lint/license,87,116
.io/client-go/tools/cache/owners,87,111
.blend,86,778
.04,86,325
.bin/mime,86,184
.tern-port,86,157
.,86,152
.rdb,85,3143
.eml,85,808
.rl,85,615
.txt~,85,485
.jsdtscope,85,358
.v1/authors,85,108
.io/apimachinery/pkg/util/mergepatch/owners,85,101
.io/apimachinery/pkg/util/strategicpatch/owners,85,101
.io/apimachinery/third_party/forked/golang/json/owners,85,101
.ttl,84,31600
.mli,84,14356
.sha256,84,1678
.jinja2,84,959
.ipr,84,919
.16,84,607
.22,84,381
.vscodeignore,84,280
.targ,84,232
.git,84,175
.io/klog/v2/license,84,129
.com/pelletier/go-toml/license,84,108
.ics,83,7291
.http,83,768
.jmx,83,759
.img,83,472
.rpath,83,149
.com/onsi/gomega/license,83,140
.com/docker/go-units/license,83,137
.com/hashicorp/go-multierror/license,83,125
.swift-version,83,108
.xyz,82,4641
.desc,82,895
.bst,82,362
.mysql,82,358
.com/onsi/ginkgo/license,82,144
.org/x/sys/readme,82,105
.depend,81,1411
.import-restrictions,81,497
.21,81,375
.com/magiconair/properties/license,81,102
.xmi,80,5946
.vcf,80,2769
.svn/all-wcprops,80,1995
.npz,80,1631
.4/license,80,493
.menu,80,409
.ember-cli,80,220
.com/coreos/go-systemd/license,80,165
.com/hashicorp/errwrap/license,80,122
.com/microsoft/go-winio/license,80,121
.doap,80,111
.v2,79,9052
.flac,79,921
.stylecop,79,586
.groupproj,79,390
.cache/requests,79,143
.ll,78,53242
.fsproj,78,953
.pegjs,78,222
.shfbproj,78,214
.bin/sshpk-conv,78,155
.5/license,78,138
.com/docker/go-connections/license,78,117
.com/aws/aws-sdk-go/internal/sync/singleflight/license,78,116
.io/apiextensions-apiserver/license,78,109
.hlsl,77,3437
.xap,77,291
.cmakein,77,290
.bor,77,249
.wixproj,77,238
.xccheckout,77,200
.processor,77,185
.asp,76,1139
.te,76,472
.tmlanguage,76,311
.0/changelog,76,271
.0/makefile,76,268
.sas,76,220
.htpasswd,76,136
.io/structured-merge-diff/v4/license,76,115
.com/go-ini/ini/makefile,76,106
.defs,75,1439
.fnt,75,715
.content,75,703
.prerm,75,629
.sec,75,481
.qss,75,454
.vms,75,277
.bin/acorn,75,270
.0/dockerfile,75,226
.xml~,75,151
.coverage,75,115
.uuid/license,75,105
.tree,74,5901
.args,74,2946
.xs,74,1015
.cat,74,477
.checkstyle,74,377
.buckconfig,74,219
.bin/sshpk-sign,74,151
.bin/sshpk-verify,74,151
.4/readme,74,135
.cvs,74,133
.prod,74,133
.changes,73,1039
.m4a,73,479
.jj,73,379
.appcache,73,182
.com/juju/ratelimit/license,73,129
.com/alecthomas/units/copying,73,115
.co/go/tools/license,73,101
.model,72,2968
.gpr,72,2304
.afm,72,1834
.plugin,72,1080
.wiki,72,810
.vsd,72,612
.18,72,380
